Date,Open,High,Low,Close,MA20,MA50,RSI14,TR,ATR14,decision,rule,reason
2024-11-19,2611.875,2639.395,2610.465,2632.265,2683.74675,2656.1025,46.35994195438299,28.929999999999836,38.801633124686326,WAIT,B*,Dip >1×ATR below MA20 (stretched)
2024-11-20,2632.185,2655.395,2618.975,2650.265,2680.484,2658.8774,49.2699237359168,36.42000000000007,38.631516472923025,BUY 1 tranche ($500),B,Uptrend dip to/under MA20 (≤1×ATR)
2024-11-21,2650.285,2673.505,2648.975,2669.665,2677.168,2661.0948,52.275035008277094,24.5300000000002,37.62426529628568,BUY 1 tranche ($500),B,Uptrend dip to/under MA20 (≤1×ATR)
2024-11-22,2669.67,2711.44,2668.21,2705.95,2675.33875,2663.5569,57.36245208762359,43.23000000000002,38.02467491797956,WAIT,B0,Uptrend above MA20; wait for pullback
2024-11-25,2714.3,2721.32,2615.74,2625.23,2669.489,2664.4113,45.693221698322176,105.58000000000038,42.850055280981046,WAIT,B*,Dip >1×ATR below MA20 (stretched)
2024-11-26,2625.04,2641.935,2605.355,2633.225,2662.4162499999998,2665.684,46.84658902434019,36.57999999999993,42.402194189482394,BUY 1 tranche ($500),A,MA20<MA50 & Close<=MA50 & RSI<50
2024-11-27,2631.83,2658.215,2627.215,2635.945,2654.834,2667.2227999999996,47.25699492319633,31.0,41.58775174737651,BUY 1 tranche ($500),A,MA20<MA50 & Close<=MA50 & RSI<50
2024-11-28,2637.015,2649.605,2621.035,2637.585,2649.403,2668.2391000000002,47.52010352818257,28.570000000000164,40.65791233684963,BUY 1 tranche ($500),A,MA20<MA50 & Close<=MA50 & RSI<50
2024-11-29,2638.655,2666.205,2634.475,2650.455,2645.1,2668.8248,49.64309661405402,31.730000000000018,40.02020431278894,BUY 1 tranche ($500),A,MA20<MA50 & Close<=MA50 & RSI<50
2024-12-02,2652.75,2652.9,2622.155,2639.06,2640.21875,2669.0351,47.7993629528768,30.74499999999989,39.357689719018296,BUY 1 tranche ($500),A,MA20<MA50 & Close<=MA50 & RSI<50
2024-12-03,2639.035,2655.595,2634.295,2643.665,2635.20225,2668.7655,48.629694347832526,21.299999999999727,38.067854739088396,BUY 1 tranche ($500),A,MA20<MA50 & Close<=MA50 & RSI<50
2024-12-04,2643.395,2657.155,2632.765,2650.095,2634.75425,2668.624,49.82971371954086,24.390000000000327,37.090865114867825,BUY 1 tranche ($500),A,MA20<MA50 & Close<=MA50 & RSI<50
2024-12-05,2649.91,2655.535,2623.675,2631.985,2631.028,2667.8147,46.53265912158191,31.859999999999673,36.71723189237725,BUY 1 tranche ($500),A,MA20<MA50 & Close<=MA50 & RSI<50
2024-12-06,2631.755,2645.615,2614.025,2631.985,2628.36875,2667.4133999999995,46.53265912158191,31.58999999999969,36.35100104292171,BUY 1 tranche ($500),A,MA20<MA50 & Close<=MA50 & RSI<50
2024-12-09,2645.48,2676.425,2627.745,2660.395,2630.4115,2667.9266000000002,52.277559973837796,48.68000000000029,37.23164382557018,WAIT,None,No rule matched
2024-12-10,2660.4,2695.59,2658.01,2693.945,2635.195,2668.5368,58.01472019111635,37.57999999999993,37.25652640945802,WAIT,None,No rule matched
2024-12-11,2694.195,2721.02,2676.25,2718.13,2642.45475,2669.7232,61.59864686643836,44.76999999999998,37.793203094496725,WAIT,None,No rule matched
2024-12-12,2718.385,2726.035,2675.375,2680.865,2648.2455,2670.2163,53.95603493101108,50.659999999999854,38.71226001631838,WAIT,None,No rule matched
2024-12-13,2681.115,2692.77,2646.63,2647.72,2652.515,2670.1379,48.22486556413741,46.13999999999987,39.24281287229563,BUY 1 tranche ($500),A,MA20<MA50 & Close<=MA50 & RSI<50
2024-12-16,2650.0,2664.415,2643.685,2652.725,2654.55775,2670.3392,49.10400461167135,20.730000000000018,37.92046909570308,BUY 1 tranche ($500),A,MA20<MA50 & Close<=MA50 & RSI<50
2024-12-17,2652.805,2658.595,2633.335,2646.63,2655.2760000000003,2670.8327000000004,48.03435241764954,25.259999999999764,37.016149874581416,BUY 1 tranche ($500),A,MA20<MA50 & Close<=MA50 & RSI<50
2024-12-18,2646.345,2651.745,2584.295,2585.34,2652.02975,2670.383,38.86591771888305,67.44999999999982,39.189996312111305,BUY 1 tranche ($500),A,MA20<MA50 & Close<=MA50 & RSI<50
2024-12-19,2585.48,2626.07,2583.64,2594.285,2648.2607500000004,2669.6656,40.64651174053083,42.43000000000029,39.421425146960516,BUY 1 tranche ($500),A,MA20<MA50 & Close<=MA50 & RSI<50
2024-12-20,2594.375,2631.96,2589.8,2623.09,2644.11775,2669.0035,46.091659788646744,42.159999999999854,39.61703763646332,BUY 1 tranche ($500),A,MA20<MA50 & Close<=MA50 & RSI<50
2024-12-23,2620.87,2633.325,2608.265,2612.945,2643.5035,2668.29,44.54177360875137,25.059999999999945,38.5772492338588,BUY 1 tranche ($500),A,MA20<MA50 & Close<=MA50 & RSI<50
2024-12-24,2612.62,2621.535,2610.235,2616.18,2642.65125,2667.3565000000003,45.174861652092524,11.299999999999727,36.628874288583155,BUY 1 tranche ($500),A,MA20<MA50 & Close<=MA50 & RSI<50
2024-12-26,2615.97,2639.145,2615.34,2633.795,2642.54375,2666.5556,48.614640935607646,23.804999999999836,35.712883267970064,BUY 1 tranche ($500),A,MA20<MA50 & Close<=MA50 & RSI<50
2024-12-27,2632.59,2638.275,2611.825,2615.555,2641.4422499999996,2665.0047000000004,45.43575148148742,26.450000000000273,35.051248748829366,BUY 1 tranche ($500),A,MA20<MA50 & Close<=MA50 & RSI<50
2024-12-30,2620.05,2628.125,2596.185,2605.965,2639.2177500000003,2662.7273999999998,43.81358439990921,31.940000000000055,34.82901669534156,BUY 1 tranche ($500),A,MA20<MA50 & Close<=MA50 & RSI<50
2024-12-31,2605.53,2627.585,2602.835,2624.585,2638.4939999999997,2660.8242,47.716659847870986,24.75,34.109086931388596,BUY 1 tranche ($500),A,MA20<MA50 & Close<=MA50 & RSI<50
2025-01-02,2624.835,2660.445,2621.895,2658.01,2639.2112500000003,2659.0040999999997,53.90665448518166,38.55000000000018,34.426295007718,WAIT,None,No rule matched
2025-01-03,2658.38,2665.35,2637.03,2638.26,2638.6195,2657.4589,50.130018070093165,28.31999999999971,33.99013107859526,WAIT,None,No rule matched
2025-01-06,2640.63,2649.405,2615.265,2636.085,2638.8245,2655.4609,49.71692878144765,34.14000000000033,34.00083600155277,BUY 1 tranche ($500),A,MA20<MA50 & Close<=MA50 & RSI<50
2025-01-07,2634.475,2664.255,2633.075,2648.735,2639.6620000000003,2653.5849,52.18482974126003,31.18000000000029,33.79934771572759,WAIT,None,No rule matched
